Key,english,french,spanish,german,polish,brazilian,russian,turkish,tchinese
qc_FuriousRamsayBuilderTraining,Builder Training Instructions,Instructions de formation pour les builders,Instrucciones de capacitación para constructores,Schulungsanleitung für Bauarbeiter,Instrukcje dotyczące szkolenia budowniczych,Instruções de Treinamento para Construtores,Инструкции по обучению строителей,İnşaatçı Eğitim Talimatları,建造者訓練說明
qc_FuriousRamsayBuilderTrainingDesc,These instructions describe how to start on the path of the [c256fc]BUILDER[-]\n\n[e89090]PLEASE HAVE A LOOK AT THE DETAILS OF THIS CLASS IN THE SKILL WINDOW BEFORE SELECTING IT[-]..\n\nYou will be given a couple special generic DNA boosts to get you started towards the Genetics line of your choice.\n\nPlease note that Genetics are completely independent from the Classes and only affect your progression towards Genetics-related Perks,Ces instructions décrivent comment démarrer sur le chemin du [c256fc]BUILDER[-]\n\n[e89090]VEUILLEZ CONSULTER LES DéTAILS DE CETTE CLASSE DANS LA FENÊTRE DE COMPéTENCE AVANT DE LA SéLECTIONNER[-]..\n\nVous recevrez quelques boosts d'ADN génériques spéciaux pour vous aider à démarrer vers la ligne génétique de votre choix.\n\nVeuillez noter que la génétique est complètement indépendante des classes et n'affecte que votre progression vers les avantages liés à la génétique,"Estas instrucciones describen cómo comenzar el camino del [c256fc]CONSTRUCTOR[-]\n\n[e89090]POR FAVOR, MIRA LOS DETALLES DE ESTA CLASE EN LA VENTANA DE HABILIDADES ANTES DE SELECCIONARLA[-]..\n\nRecibirás un par de mejoras de ADN genéricas especiales para que comiences hacia la línea de Genética de tu elección.\n\nTen en cuenta que la Genética es completamente independiente de las Clases y solo afecta tu progreso hacia las Ventajas relacionadas con la Genética.","Diese Anleitung beschreibt, wie du den Pfad des [c256fc]BAUERS[-] einschlägst.\n\n[e89090]BITTE SIEH DIR DIE DETAILS DIESER KLASSE IM FÄHIGKEITENFENSTER AN, BEVOR DU SIE AUSWÄHLST[-]..\n\nDu erhältst einige spezielle generische DNA-Boni, um dir den Einstieg in die Genetik-Linie deiner Wahl zu erleichtern.\n\nBitte beachte, dass die Genetik völlig unabhängig von den Klassen ist und nur deinen Fortschritt bei den Genetik-bezogenen Vorteilen beeinflusst.","Te instrukcje opisują, jak rozpocząć ścieżkę [c256fc]BUILDER[-]\n\n[e89090]PRZED WYBOREM TEJ KLASY ZAPOZNAJ SIĘ ZE SZCZEGÓŁAMI TEJ KLASY W OKNIE UMIEJĘTNOŚCI[-]..\n\nOtrzymasz kilka specjalnych, ogólnych wzmocnień DNA, które pomogą Ci rozpocząć rozwój w wybranej linii genetycznej.\n\nPamiętaj, że genetyka jest całkowicie niezależna od klas i wpływa jedynie na postęp w kierunku umiejętności związanych z genetyką.","Estas instruções descrevem como iniciar a jornada para se tornar um [c256fc]CONSTRUTOR[-]\n\n[e89090]POR FAVOR, VEJA OS DETALHES DESTA CLASSE NA JANELA DE HABILIDADES ANTES DE SELECIONÁ-LA[-]..\n\nVocê receberá alguns bônus de DNA genéricos especiais para começar a trilhar o caminho da linha de Genética de sua escolha.\n\nObserve que a Genética é completamente independente das Classes e afeta apenas sua progressão em direção às Vantagens relacionadas à Genética.","Эти инструкции описывают, как начать путь [c256fc]СТРОИТЕЛЯ[-]\n\n[e89090]ПОЖАЛУЙСТА, ПОСМОТРИТЕ НА ПОДРОБНОСТИ ЭТОГО КЛАССА В ОКНЕ НАВЫКОВ, ПРЕЖДЕ ЧЕМ ВЫБРАТЬ ЕГО[-]..\n\nВам будет предоставлено несколько специальных универсальных улучшений ДНК, которые помогут вам начать движение к выбранной вами линии генетики.\n\nОбратите внимание, что генетика полностью независима от классов и влияет только на ваш прогресс в направлении перков, связанных с генетикой.","Bu talimatlar, [c256fc]İNŞAATÇI[-] yolunda nasıl başlayacağınızı açıklar.\n\n[e89090]LÜTFEN SEÇMEDEN ÖNCE BU SINIFIN DETAYLARINA BECERİ PENCERESİNDEN BAKIN[-]..\n\nSeçtiğiniz Genetik hattına doğru başlamanız için size birkaç özel genel DNA desteği verilecektir.\n\nLütfen Genetiklerin Sınıflardan tamamen bağımsız olduğunu ve yalnızca Genetikle ilgili Avantajlara doğru ilerlemenizi etkilediğini unutmayın.",這些說明描述如何踏上[c256fc]建造者[-]之路\n\n[e89090]選擇此職業前請在技能視窗中查看此職業的詳細資訊[-]。\n\n你將獲得一些特殊的通用DNA增幅，讓你開始朝你選擇的遺傳學路線發展。\n\n請注意遺傳學與職業完全獨立，僅影響你朝遺傳學相關特長的進度
qc_FuriousRamsayButcherTraining,Butcher Training Instructions,Instructions de formation pour Butcher,Instrucciones de formación para carniceros,Metzger-Ausbildungsanleitung,Instrukcje dotyczące szkolenia rzeźnika,Instruções de Treinamento para Açougueiros,Инструкции по обучению мясников,Kasap Eğitim Talimatları,屠夫訓練說明
qc_FuriousRamsayButcherTrainingDesc,These instructions describe how to start on the path of the [ff5b69]BUTCHER[-]\n\n[e89090]PLEASE HAVE A LOOK AT THE DETAILS OF THIS CLASS IN THE SKILL WINDOW BEFORE SELECTING IT[-]..\n\nYou will be given a couple special generic DNA boosts to get you started towards the Genetics line of your choice.\n\nPlease note that Genetics are completely independent from the Classes and only affect your progression towards Genetics-related Perks,Ces instructions décrivent comment démarrer sur le chemin du [ff5b69]BUTCHER[-]\n\n[e89090]VEUILLEZ CONSULTER LES DéTAILS DE CETTE CLASSE DANS LA FENÊTRE DE COMPéTENCE AVANT DE LA SéLECTIONNER[-]..\n\nVous recevrez quelques boosts d'ADN génériques spéciaux pour vous aider à démarrer vers la ligne génétique de votre choix.\n\nVeuillez noter que la génétique est complètement indépendante des classes et n'affecte que votre progression vers les avantages liés à la génétique,"Estas instrucciones describen cómo comenzar el camino del [ff5b69]CARNICERO[-]\n\n[e89090]POR FAVOR, MIRA LOS DETALLES DE ESTA CLASE EN LA VENTANA DE HABILIDADES ANTES DE SELECCIONARLA[-]..\n\nRecibirás un par de mejoras de ADN genéricas especiales para que comiences hacia la línea de Genética de tu elección.\n\nTen en cuenta que la Genética es completamente independiente de las Clases y solo afecta tu progreso hacia las Ventajas relacionadas con la Genética.","Diese Anleitung beschreibt, wie du den Pfad des [ff5b69]Schlächters[-] einschlägst.\n\n[e89090]BITTE SIEH DIR DIE DETAILS DIESER KLASSE IM FÄHIGKEITENFENSTER AN, BEVOR DU SIE AUSWÄHLST[-]..\n\nDu erhältst einige spezielle generische DNA-Boni, um dir den Einstieg in die Genetiklinie deiner Wahl zu erleichtern.\n\nBitte beachte, dass die Genetik völlig unabhängig von den Klassen ist und nur deinen Fortschritt bei den Genik-bezogenen Vorteilen beeinflusst.","Te instrukcje opisują, jak rozpocząć ścieżkę [ff5b69]RZEŹNIKA[-]\n\n[e89090]PRZECZYTAJ SZCZEGÓŁY TEJ KLASY W OKNIE UMIEJĘTNOŚCI PRZED JEJ WYBOREM[-]..\n\nOtrzymasz kilka specjalnych, ogólnych wzmocnień DNA, które pomogą Ci rozpocząć rozwój w wybranej linii genetycznej.\n\nPamiętaj, że genetyka jest całkowicie niezależna od klas i wpływa jedynie na postęp w kierunku umiejętności związanych z genetyką.","Estas instruções descrevem como iniciar a jornada do [ff5b69]AÇOUGUEIRO[-]\n\n[e89090]POR FAVOR, VEJA OS DETALHES DESTA CLASSE NA JANELA DE HABILIDADES ANTES DE SELECIONÁ-LA[-]..\n\nVocê receberá alguns bônus de DNA genéricos especiais para começar a trilhar o caminho da Genética de sua escolha.\n\nObserve que a Genética é completamente independente das Classes e afeta apenas sua progressão em direção às Vantagens relacionadas à Genética.","Эти инструкции описывают, как начать путь [ff5b69]МЯСНИКА[-]\n\n[e89090]ПОЖАЛУЙСТА, ПОСМОТРИТЕ НА ПОДРОБНОСТИ ЭТОГО КЛАССА В ОКНЕ НАВЫКОВ, ПРЕЖДЕ ЧЕМ ВЫБРАТЬ ЕГО[-]..\n\nВам будет предоставлено несколько специальных универсальных улучшений ДНК, которые помогут вам начать движение к выбранной вами линии генетики.\n\nОбратите внимание, что генетика полностью независима от классов и влияет только на ваш прогресс в направлении перков, связанных с генетикой.","Bu talimatlar, [ff5b69]KASAP[-] yolunda nasıl başlayacağınızı açıklar.\n\n[e89090]LÜTFEN SEÇMEDEN ÖNCE BU SINIFIN DETAYLARINA BECERİ PENCERESİNDEN BAKIN[-]..\n\nSeçtiğiniz Genetik hattına doğru başlamanız için size birkaç özel genel DNA desteği verilecektir.\n\nLütfen Genetiklerin Sınıflardan tamamen bağımsız olduğunu ve yalnızca Genetikle ilgili Avantajlara doğru ilerlemenizi etkilediğini unutmayın.",這些說明描述如何踏上[ff5b69]屠夫[-]之路\n\n[e89090]選擇此職業前請在技能視窗中查看此職業的詳細資訊[-]。\n\n你將獲得一些特殊的通用DNA增幅，讓你開始朝你選擇的遺傳學路線發展。\n\n請注意遺傳學與職業完全獨立，僅影響你朝遺傳學相關特長的進度
qc_FuriousRamsayChallengeDesc,A Challenge from the Trader's Network,Un défi lancé par le réseau des marchands,Un desafío de la red de comerciantes,Eine Herausforderung aus dem Händlernetzwerk,Wyzwanie ze strony sieci handlowej,Um desafio da rede de traders,Вызов от сети трейдеров,Tüccar Ağından Bir Meydan Okuma,來自商人網絡的挑戰
qc_FuriousRamsayChefTraining,Sous-Chef Training Instructions,Instructions de formation pour les Sous-Chefs,Instrucciones de formación para sous-chef,Sous-Chef-Schulungsanweisungen,Instrukcje dotyczące szkolenia zastępcy szefa kuchni,Instruções de Treinamento para Subchefe,Инструкции по обучению помощников шеф-повара,Sous-Chef Eğitim Talimatları,副廚訓練說明
qc_FuriousRamsayChefTrainingDesc,These instructions describe how to start on the path of the [bab8b8]SOUS-CHEF[-]\n\n[e89090]PLEASE HAVE A LOOK AT THE DETAILS OF THIS CLASS IN THE SKILL WINDOW BEFORE SELECTING IT[-]..\n\nYou will be given a couple special generic DNA boosts to get you started towards the Genetics line of your choice.\n\nPlease note that Genetics are completely independent from the Classes and only affect your progression towards Genetics-related Perks,Ces instructions décrivent comment démarrer sur le chemin du [bab8b8]SOUS-CHEF[-]\n\n[e89090]VEUILLEZ CONSULTER LES DéTAILS DE CETTE CLASSE DANS LA FENÊTRE DE COMPéTENCE AVANT DE LA SéLECTIONNER[-]..\n\nVous recevrez quelques boosts d'ADN génériques spéciaux pour vous aider à démarrer vers la ligne génétique de votre choix.\n\nVeuillez noter que la génétique est complètement indépendante des classes et n'affecte que votre progression vers les avantages liés à la génétique,"Estas instrucciones describen cómo comenzar el camino del [bab8b8]SOUS-CHEF[-]\n\n[e89090]POR FAVOR, MIRA LOS DETALLES DE ESTA CLASE EN LA VENTANA DE HABILIDADES ANTES DE SELECCIONARLA[-]..\n\nRecibirás un par de mejoras de ADN genéricas especiales para que comiences hacia la línea de Genética de tu elección.\n\nTen en cuenta que la Genética es completamente independiente de las Clases y solo afecta tu progreso hacia las Ventajas relacionadas con la Genética.","Diese Anleitung beschreibt, wie du den Weg zum [bab8b8]SOUS-CHEF[-] einschlägst.\n\n[e89090]BITTE SIEH DIR DIE DETAILS DIESER KLASSE IM FÄHIGKEITENFENSTER AN, BEVOR DU SIE AUSWÄHLST[-]..\n\nDu erhältst einige spezielle generische DNA-Boni, um dir den Einstieg in die Genetik-Linie deiner Wahl zu erleichtern.\n\nBitte beachte, dass die Genetik völlig unabhängig von den Klassen ist und nur deinen Fortschritt bei den Genetik-bezogenen Vorteilen beeinflusst.","Te instrukcje opisują, jak rozpocząć ścieżkę [bab8b8]SŁUŻBY SZEFA KUCHNI[-]\n\n[e89090]PRZED WYBOREM TEJ KLASY ZAPOZNAJ SIĘ ZE SZCZEGÓŁAMI TEJ KLASY W OKNIE UMIEJĘTNOŚCI[-]..\n\nOtrzymasz kilka specjalnych, ogólnych wzmocnień DNA, które pomogą Ci rozpocząć ścieżkę genetyczną według własnego wyboru.\n\nPamiętaj, że genetyka jest całkowicie niezależna od klas i wpływa jedynie na postęp w kierunku umiejętności związanych z genetyką.","Estas instruções descrevem como iniciar a jornada para o [bab8b8]SUAS-CHEFE[-]\n\n[e89090]POR FAVOR, VEJA OS DETALHES DESTA CLASSE NA JANELA DE HABILIDADES ANTES DE SELECIONÁ-LA[-]..\n\nVocê receberá alguns bônus de DNA genéricos especiais para começar a trilhar o caminho da linha de Genética de sua escolha.\n\nObserve que a Genética é completamente independente das Classes e afeta apenas sua progressão em direção às Vantagens relacionadas à Genética.","Эти инструкции описывают, как начать путь [bab8b8]СУ-ШЕФА[-]\n\n[e89090]ПОЖАЛУЙСТА, ПОСМОТРИТЕ НА ПОДРОБНОСТИ ЭТОГО КЛАССА В ОКНЕ НАВЫКОВ, ПРЕЖДЕ ЧЕМ ВЫБРАТЬ ЕГО[-]..\n\nВам будет предоставлено несколько специальных универсальных улучшений ДНК, которые помогут вам начать путь к выбранной вами линии генетики.\n\nОбратите внимание, что генетика полностью независима от классов и влияет только на ваш прогресс в направлении перков, связанных с генетикой.","Bu talimatlar, [bab8b8]SOUS-CHEF[-] yolunda nasıl başlayacağınızı açıklar.\n\n[e89090]LÜTFEN SEÇMEDEN ÖNCE BU SINIFIN DETAYLARINA BECERİ PENCERESİNDEN BAKIN[-]..\n\nSeçtiğiniz Genetik hattına doğru başlamanız için size birkaç özel genel DNA desteği verilecektir.\n\nLütfen Genetiklerin Sınıflardan tamamen bağımsız olduğunu ve yalnızca Genetikle ilgili Avantajlara doğru ilerlemenizi etkilediğini unutmayın.",這些說明描述如何踏上[bab8b8]副廚[-]之路\n\n[e89090]選擇此職業前請在技能視窗中查看此職業的詳細資訊[-]。\n\n你將獲得一些特殊的通用DNA增幅，讓你開始朝你選擇的遺傳學路線發展。\n\n請注意遺傳學與職業完全獨立，僅影響你朝遺傳學相關特長的進度
qc_FuriousRamsayFactionWarDesc,Fight the Black Shield alongside the Trader Network. Chance to get good loot.,Combattez le Black Shield aux côtés du réseau de marchands. Vous aurez une chance d'obtenir un bon butin.,Lucha contra el Escudo Negro junto a la Red de Comerciantes. Oportunidad de conseguir un buen botín.,Bekämpfe den Schwarzen Schild an der Seite des Händlernetzwerks. Chance auf gute Beute.,Walcz z Czarną Tarczą u boku Sieci Handlowej. Masz szansę na zdobycie dobrego łupu.,Enfrente o Escudo Negro ao lado da Rede de Comerciantes. Chance de obter bons itens.,Сражайтесь с Чёрным Щитом вместе с Торговой сетью. Шанс получить хорошую добычу.,Tüccar Ağı'nın yanında Kara Kalkan'a karşı savaşın. İyi ganimet elde etme şansı.,與商人網絡一起對抗黑盾。有機會獲得好的戰利品。
qc_FuriousRamsayFactionWarTier1,Faction Wars (Tier 1),Guerres de factions (Niveau 1),Guerras de facciones (Nivel 1),Fraktionskriege (Stufe 1),Wojny Frakcji (Poziom 1),Guerras de Facções (Nível 1),Войны фракций (Уровень 1),Grup Savaşları (1. Seviye),派系戰爭（階級 1）
qc_FuriousRamsayFactionWarTier2,Faction Wars (Tier 2),Guerres de factions (Niveau 2),Guerras de facciones (Nivel 2),Fraktionskriege (Stufe 2),Wojny Frakcji (Poziom 2),Guerras de Facções (Nível 2),Войны фракций (Уровень 2),Grup Savaşları (2. Kademe),派系戰爭（階級 2）
qc_FuriousRamsayFactionWarTier3,Faction Wars (Tier 3),Guerres de factions (Niveau 3),Guerras de facciones (Nivel 3),Fraktionskriege (Stufe 3),Wojny Frakcji (Poziom 3),Guerras de Facções (Nível 3),Войны фракций (Уровень 3),Grup Savaşları (3. Seviye),派系戰爭（階級 3）
qc_FuriousRamsayFactionWarTier4,Faction Wars (Tier 4),Guerres de factions (Niveau 4),Guerras de facciones (Nivel 4),Fraktionskriege (Stufe 4),Wojny Frakcji (Poziom 4),Guerras de Facções (Nível 4),Войны фракций (Уровень 4),Grup Savaşları (4. Seviye),派系戰爭（階級 4）
qc_FuriousRamsayFactionWarTier5,Faction Wars (Tier 5),Guerres de factions (Niveau 5),Guerras de facciones (nivel 5),Fraktionskriege (Stufe 5),Wojny Frakcji (Poziom 5),Guerras de Facções (Nível 5),Войны фракций (Уровень 5),Grup Savaşları (5. Seviye),派系戰爭（階級 5）
qc_FuriousRamsayFindNextTrader,Trader Network Flyer,Dépliant du réseau de marchands,Folleto de la red de comerciantes,Flyer des Händlernetzwerks,Ulotka Trader Network,Panfleto da Rede de Traders,Флаер сети трейдеров,Trader Network Broşürü,商人網絡傳單
qc_FuriousRamsayFindNextTraderDesc,This Flyer has an address to a Trader Network location.,Ce dépliant contient l'adresse d'un emplacement du réseau Trader.,Este folleto tiene una dirección a una ubicación de Trader Network.,Dieser Flyer enthält die Adresse eines Standorts des Trader Networks.,Na ulotce podany jest adres placówki Trader Network.,Este folheto contém o endereço de uma unidade da Trader Network.,В этой листовке указан адрес офиса Trader Network.,Bu Broşürde Trader Network lokasyonunun adresi yer almaktadır.,此傳單記有一個商人網絡的地址。
qc_FuriousRamsayGhostsTier1,Ghosts (Tier 1),Fantômes (Niveau 1),Fantasmas (Nivel 1),Geister (Stufe 1),Duchy (poziom 1),Fantasmas (Nível 1),Призраки (Уровень 1),Hayaletler (1. Seviye),幽靈（階級 1）
qc_FuriousRamsayGhostsTier1Desc,Help the Trader Network hunt down cloaked mechanical rabbit prototypes.\n\nThey don't care what happens to them.,Aidez le réseau de marchands à traquer les prototypes de lapins mécaniques cachés.\n\nIls ne se soucient pas de ce qui leur arrive.,Ayuda a la Red de Comerciantes a cazar prototipos de conejos mecánicos camuflados.\n\nNo les importa lo que les pase.,"Hilf dem Händlernetzwerk, getarnte Prototypen mechanischer Kaninchen aufzuspüren.\n\nEs ist ihnen egal, was mit ihnen passiert.","Pomóż Sieci Handlowej w polowaniu na zamaskowane prototypy mechanicznych królików.\n\nNie obchodzi ich, co się z nimi stanie.",Ajude a Rede de Comerciantes a caçar protótipos camuflados de coelhos mecânicos.\n\nEles não se importam com o que aconteça com eles.,"Помогите Торговой сети выследить замаскированные прототипы механических кроликов.\n\nИм все равно, что с ними случится.",Tüccar Ağı'nın gizlenmiş mekanik tavşan prototiplerini avlamasına yardım edin.\n\nBaşlarına ne geleceğini umursamıyorlar.,幫助商人網絡獵殺隱形機械兔子原型。\n\n他們不在乎原型的死活。
qc_FuriousRamsayGhostsTier2,Ghosts (Tier 2),Fantômes (Niveau 2),Fantasmas (Nivel 2),Geister (Stufe 2),Duchy (poziom 2),Fantasmas (Nível 2),Призраки (Уровень 2),Hayaletler (2. Seviye),幽靈（階級 2）
qc_FuriousRamsayGhostsTier2Desc,Help the Trader Network hunt down cloaked mechanical snake prototypes.\n\nThey don't care what happens to them.,Aidez le réseau de marchands à traquer les prototypes de serpents mécaniques cachés.\n\nIls ne se soucient pas de ce qui leur arrive.,Ayuda a la Red de Comerciantes a cazar prototipos de serpientes mecánicas camufladas.\n\nNo les importa lo que les pase.,"Hilf dem Händlernetzwerk bei der Jagd nach getarnten Prototypen mechanischer Schlangen.\n\nEs ist ihnen egal, was mit ihnen passiert.","Pomóż Sieci Handlowej w polowaniu na zamaskowane prototypy mechanicznych węży.\n\nNie obchodzi ich, co się z nimi stanie.",Ajude a Rede de Comerciantes a caçar protótipos camuflados de cobras mecânicas.\n\nEles não se importam com o que aconteça com eles.,"Помогите Торговой сети выследить замаскированные прототипы механических змей.\n\nИм все равно, что с ними случится.",Tüccar Ağı'nın gizlenmiş mekanik yılan prototiplerini avlamasına yardım edin.\n\nBaşlarına ne geleceğini umursamıyorlar.,幫助商人網絡獵殺隱形機械蛇原型。\n\n他們不在乎原型的死活。
qc_FuriousRamsayGhostsTier3,Ghosts (Tier 3),Fantômes (Niveau 3),Fantasmas (Nivel 3),Geister (Stufe 3),Duchy (poziom 3),Fantasmas (Nível 3),Призраки (Уровень 3),Hayaletler (3. Seviye),幽靈（階級 3）
qc_FuriousRamsayGhostsTier3Desc,Help the Trader Network hunt down cloaked mechanical vulture prototypes.\n\nThey don't care what happens to them.,Aidez le réseau de marchands à traquer les prototypes de vautours mécaniques cachés.\n\nIls ne se soucient pas de ce qui leur arrive.,Ayuda a la Red de Comerciantes a cazar prototipos de buitres mecánicos camuflados.\n\nNo les importa lo que les pase.,"Hilf dem Händlernetzwerk, getarnte Prototypen der mechanischen Geier aufzuspüren.\n\nEs ist ihnen egal, was mit ihnen passiert.","Pomóż Sieci Handlowej w polowaniu na zamaskowane prototypy mechanicznych sępów.\n\nNie obchodzi ich, co się z nimi stanie.",Ajude a Rede de Comerciantes a caçar protótipos camuflados de abutres mecânicos.\n\nEles não se importam com o que aconteça com eles.,"Помогите Торговой сети выследить замаскированные прототипы механических стервятников.\n\nИм все равно, что с ними случится.",Tüccar Ağı'nın gizlenmiş mekanik akbaba prototiplerini avlamasına yardım edin.\n\nBaşlarına ne geleceğini umursamıyorlar.,幫助商人網絡獵殺隱形機械禿鷹原型。\n\n他們不在乎原型的死活。
qc_FuriousRamsayGhostsTier4,Ghosts (Tier 4),Fantômes (Niveau 4),Fantasmas (Nivel 4),Geister (Stufe 4),Duchy (poziom 4),Fantasmas (Nível 4),Призраки (Уровень 4),Hayaletler (4. Seviye),幽靈（階級 4）
qc_FuriousRamsayGhostsTier4Desc,"One of your best scientists, Debbie has defected to an enemy faction called the Black Shield.\n\nFind out what other cloaked prototypes she's been developing for them.","Debbie, l'une de vos meilleures scientifiques, vous a abandonnée pour une faction ennemie appelée le Black Shield.\n\nDécouvrez quels autres prototypes cachés elle a développés pour eux.","Una de tus mejores científicas, Debbie, se ha unido a una facción enemiga llamada Escudo Negro.\n\nDescubre qué otros prototipos camuflados ha estado desarrollando para ellos.","Eine Ihrer besten Wissenschaftlerinnen, Debbie, ist zu einer feindlichen Fraktion namens Schwarzer Schild übergelaufen.\n\nFinden Sie heraus, welche anderen getarnten Prototypen sie für sie entwickelt hat.","Jedna z twoich najlepszych naukowczyń, Debbie, przeszła na stronę wrogiej frakcji zwanej Czarną Tarczą.\n\nDowiedz się, jakie inne zamaskowane prototypy dla nich opracowała.","Uma de suas melhores cientistas, Debbie, desertou para uma facção inimiga chamada Escudo Negro. Descubra quais outros protótipos camuflados ela vem desenvolvendo para eles.","Одна из ваших лучших ученых, Дебби, перешла на сторону вражеской фракции под названием «Черный щит».\n\nУзнайте, какие еще замаскированные прототипы она разрабатывала для них.","En iyi bilim adamlarınızdan biri olan Debbie, Kara Kalkan adlı düşman bir gruba katıldı.\n\nOnlar için geliştirdiği diğer gizlenmiş prototipleri öğrenin.",你最優秀的科學家之一Debbie叛逃到一個叫黑盾的敵方派系。\n\n查明她還為他們開發了什麼隱形原型。
qc_FuriousRamsayGhostsTier5,Ghosts (Tier 5),Fantômes (Niveau 5),Fantasmas (Nivel 5),Geister (Stufe 5),Duchy (poziom 5),Fantasmas (Nível 5),Призраки (Уровень 5),Hayaletler (5. Seviye),幽靈（階級 5）
qc_FuriousRamsayGhostsTier5Desc,The Black Shield's prototypes are slowly killing the Trader Network's colony and now they're coming for you.\n\nSet up some defences and get ready for a blood bath.,Les prototypes du Black Shield tuent lentement la colonie du Réseau Marchand et maintenant ils viennent vous chercher.\n\nMettez en place des défenses et préparez-vous à un bain de sang.,Los prototipos del Escudo Negro están matando lentamente a la colonia de la Red de Comerciantes y ahora vienen por ti.\n\nEstablece algunas defensas y prepárate para un baño de sangre.,Die Prototypen des Schwarzen Schildes vernichten langsam die Kolonie des Händlernetzwerks und jetzt haben sie es auf dich abgesehen.\n\nRichte Verteidigungsanlagen auf und mach dich bereit für ein Blutbad.,"Prototypy Czarnej Tarczy powoli niszczą kolonię Sieci Handlowej, a teraz idą po ciebie.\n\nPrzygotuj się do obrony i przygotuj się na krwawą łaźnię.",Os protótipos do Escudo Negro estão dizimando lentamente a colônia da Rede de Comerciantes e agora estão vindo atrás de você.\n\nMonte suas defesas e prepare-se para um banho de sangue.,"Прототипы Черного Щита медленно уничтожают колонию Торговой Сети, и теперь они идут за вами.\n\nУстановите оборону и приготовьтесь к кровавой бане.",Kara Kalkan'ın prototipleri Tüccar Ağı'nın kolonisini yavaş yavaş öldürüyor ve şimdi de sizin peşinize düşüyorlar.\n\nSavunmanızı kurun ve kan gölüne hazır olun.,黑盾的原型正在慢慢殺死商人網絡的殖民地，現在他們要來找你了。\n\n設置一些防禦並準備好一場血戰。
qc_FuriousRamsayHordeTrainingDesc,"A challenge to test out your horde base, luring a large population of walkers.\n\nFor training purposes and yields a reward.","Un défi pour tester votre base contre la horde, attirant une grande population de marcheurs.\n\nÀ des fins de formation et donne une récompense.","Un desafío para poner a prueba tu base de la Horda, atrayendo a una gran población de caminantes.\n\nPara fines de entrenamiento y produce una recompensa.","Eine Herausforderung, um eure Hordenbasis zu testen, indem ihr eine große Anzahl von Beißern anlockt.\n\nDient Trainingszwecken und bringt eine Belohnung ein.","Wyzwanie mające na celu sprawdzenie bazy twojej hordy, polegające na zwabieniu dużej populacji istot chodzących.\n\nPrzeznaczone do celów szkoleniowych i dające nagrodę.","Um desafio para testar sua base de horda, atraindo uma grande população de caminhantes.\n\nPara fins de treinamento e concede uma recompensa.","Испытание для проверки вашей орды, заманивание большой популяции ходячих.\n\nДля тренировочных целей и получения награды.","Sürünüzü test etmek, büyük bir yürüyen topluluğunu cezbetmek için bir meydan okuma.\n\nEğitim amaçlıdır ve ödül getirir.",一個測試你屍潮基地的挑戰，引誘大量行屍。\n\n用於訓練目的並產生獎勵。
qc_FuriousRamsayHordeTrainingTier1,Horde Training (Tier 1),Entraînement de la Horde (Niveau 1),Entrenamiento de la Horda (Nivel 1),Hordentraining (Stufe 1),Szkolenie Hordy (poziom 1),Treinamento de Horda (Nível 1),Обучение Орды (Уровень 1),Horde Eğitimi (1. Seviye),屍潮訓練（階級 1）
qc_FuriousRamsayHordeTrainingTier2,Horde Training (Tier 2),Entraînement de la Horde (Niveau 2),Entrenamiento de la Horda (Nivel 2),Hordentraining (Stufe 2),Szkolenie Hordy (poziom 2),Treinamento de Horda (Nível 2),Обучение Орды (Уровень 2),Horde Eğitimi (2. Kademe),屍潮訓練（階級 2）
qc_FuriousRamsayHordeTrainingTier3,Horde Training (Tier 3),Entraînement de la Horde (Niveau 3),Entrenamiento de la Horda (Nivel 3),Hordentraining (Stufe 3),Szkolenie Hordy (poziom 3),Treinamento de Horda (Nível 3),Обучение Орды (Уровень 3),Horde Eğitimi (3. Seviye),屍潮訓練（階級 3）
qc_FuriousRamsayHordeTrainingTier4,Horde Training (Tier 4),Entraînement de la Horde (Niveau 4),Entrenamiento de la Horda (Nivel 4),Hordentraining (Stufe 4),Szkolenie Hordy (poziom 4),Treinamento de Horda (Nível 4),Обучение Орды (Уровень 4),Horde Eğitimi (4. Seviye),屍潮訓練（階級 4）
qc_FuriousRamsayHordeTrainingTier5,Horde Training (Tier 5),Entraînement de la Horde (Niveau 5),Entrenamiento de la Horda (Nivel 5),Hordentraining (Stufe 5),Szkolenie Hordy (poziom 5),Treinamento de Horda (Nível 5),Обучение Орды (Уровень 5),Horde Eğitimi (5. Seviye),屍潮訓練（階級 5）
